"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight"
"4518","4933","24025025020600061500","TEAVA PATRATA ALU 25x25x2x6000 MM 6060  T6","{33}","6000","25","2.00",,,"EN AW 6060 T6","","KG","ML","0.496800","ALU  SQUARE TUBES 25X25X2X6000 MM 6060 T6","KG","y",,"n",,,
"4520","4935","48000410000003002040","BARA BRONZ D41X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"41",,"CUSN7ZN4PB7-C-GC","","KG","ML","11.744300","BRONZE ROUND BARS D41X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4521","4936","48001320000003002040","BARA BRONZ D132X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"132",,"CUSN7ZN4PB7-C-GC","","KG","ML","121.732800","BRONZE ROUND BARS D132X3000 MM CUSN7ZN4PB7-C-GC","KG","y",,"y",,,
"4522","4937","12950500150030001300","TABLA AL STRIATA 5754  H114 5x1500x3000 MM","{22}","3000","1500","5.00",,,"EN AW 5754 H114","","KG","BUC","62.500000","AL. TREAD SHEETS QUINTETT 5754 H114 5X1500X3000 MM","KG","y",,"n",,,
"4523","4938","12060300100020006360","TABLA ALUMINIU 6082 3.0X1000X2000 MM","{19}","2000","1000","3.00",,,"EN AW 6082 T6","","KG","BUC","16.200000","AL. SHEETS 6082  3.0X1000X2000 MM","KG","y",,"n",,,
"4524","4939","32210001000200000140","TABLA ALAMA CUZN37 R350 10X1000X2000 MM","{54}","2000","1000","10.00",,,"CUZN37 R350","","KG","BUC","169.400000","BRASS SHEETS CUZN37 R350 1/2 HARD 10x1000x2000 MM","KG","y",,"n",,,
"4525","4940","12950200150030001300","TABLA AL STRIATA 5754 H114 2x1500x3000 MM","{22}","3000","1500","2.00",,,"EN AW 5754 H114","","KG","BUC","29.000000","AL. TREAD SHEETS QUINTETT 5754 H114 2X1500X3000 MM","KG","y",,"n",,,
"4526","4941","12910200150030001560","TABLA AL STRIATA 1050 H244 2x1500x3000MM","{22}","3000","1500","2.00",,,"EN AW 1050 H244","","KG","BUC","27.000000","AL. TREAD SHEETS 1050 H244 2X1500X3000 MM","KG","y",,"n",,,
"4528","4943","36000080004003000240","BARA PATRATA ALAMA 8X8X3000MM CUZN39PB3 R430","{59}","3000","8",,,,"CUZN39PB3 R430","","KG","ML","0.541400","BRASS SQUARE BARS 8X8X3000 MM CUZN39PB3 R430 ","KG","y",,"n",,,
"4529","4944","48000810000003002140","BARA BRONZ D81X3000 MM CUSN12","{7}","3000",,,"81",,"CUSN12","","KG","ML","45.838400","BRONZE ROUND BARS D81X3000 MM CUSN12-C","KG","y",,"y",,,
"4530","4945","36000080006003000240","BARA HEXAG. ALAMA 8X3000 MM CUZN39PB3 R430","{58}","3000",,,,"8","CUZN39PB3 R430","","KG","ML","0.468900","BRASS HEXAG  BARS CUZN39PB3 R430 8X3000 MM","KG","y",,"n",,,
"4531","4946","36000060004003000240","BARA PATRATA ALAMA 6X6X3000MM CUZN39PB3 R500","{59}","3000","6",,,,"CUZN39PB3 R500","","KG","ML","0.304600","BRASS SQUARE BARS 6X6 MM CUZN39PB3 R500","KG","y",,"n",,,
"4532","4947","12105001000100020001","TABLA ALUMINIU 1050 H111 10 MM","{27}",,,"10.00",,,"EN AW 1050 H111","","KG","BUC","54.000000","AL PLATES 1050 H111 10 MM","KG","y",,"y",,,
"4533","4948","3600012000000300023G","BARA ALAMA D12X3000 MM CUZN39PB3 R430","{56}","3000",,,"12",,"CUZN39PB3 R430","","KG","ML","0.956300","BRASS ROUND BARS D12X3000 MM CUZN39PB3 R430","KG","y",,"y",,,
"4534","4949","12105002500102020201","TABLA ALUMINIU 1050 H111 25 MM","{27}",,,"25.00",,,"EN AW 1050 H111","","KG","BUC","1.000000","AL CUT PLATE 1050 25 MM","KG","y",,"y",,,
"4535","4950","12707510000152030200","TABLA  ALUMINIU 7075  T651 100 MM","{27}",,,"100.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","AL PLATES 7075 100X1520X3020 MM","KG","y",,"y","7075",,
"4536","4951","48000160000003002040","BARA BRONZ D16X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"16",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.788500","BRONZE ROUND BARS D16X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4537","4952","36000500000003000240","BARA ALAMA D50X3000 MM CUZN39PB3 R360","{56}","3000",,,"50",,"CUZN39PB3 R360","","KG","ML","16.602800","BRASS ROUND BARS D50X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4538","4953","12707504000152030200","TABLA  ALUMINIU 7075  T651 40 MM","{27}",,,"40.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES 7075 T651 40X1520X3020 MM","KG","y",,"y","7075",,
"4539","4954","24080080040600061500","TEAVA PATRATA ALU 80x80x4x6000 MM 6060  T6","{33}","6000","80","4.00",,,"EN AW 6060 T6","","KG","ML","3.283200","ALU SQUARE TUBES 80X80X4X6000 MM 6060 T6","KG","y",,"n",,,
"4540","4955","25010001506000061500","TEAVA ALU D 10X1.5X6000 MM 6060  T6","{34}","6000",,"1.50","10",,"EN AW 6060 T6","","KG","ML","0.108100","ALU ROUND TUBES 10X1,5x6000 MM 6060 T6","KG","y",,"n",,,
"4541","4956","36000150000003000240","BARA ALAMA D15X3000 MM CUZN39PB3 R430","{56}","3000",,,"15",,"CUZN39PB3 R430","","KG","ML","1.494200","BRASS ROUND BARS D15X3000 MM CUZN39PB3 R430","KG","y",,"y",,,
"4542","4957","12606105080152030200","TABLA  ALUMINIU 6061 T651 50.8 MM","{27}",,,"50.80",,,"EN AW 6061 T651","","KG","BUC","1.000000","AL. PLATES 6061 T651 50,8X1520X3020 MM - AMS","KG","y",,"y","6061",,
"4544","4959","1250830852F152030200","TABLA ALUMINIU 5083 H111  85 MM","{27}",,,"85.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 85X1520X3020 MM","KG","y",,"y","5083",,
"4546","4961","48000560000003002140","BARA BRONZ D56X3000 MM CUSN12","{7}","3000",,,"56",,"CUSN12","","KG","ML","21.909700","BRONZE ROUND BARS D56X3000 MM CUSN12-C-GC","KG","y",,"y",,,
"4547","4962","1260820802F152030200","TABLA  ALUMINIU 6082 T651  80 MM","{27}",,,"80.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","AL PLATES 6802 80X1520X3020 MM","KG","y",,"y","6082",,
"4549","4964","36000550000003000240","BARA ALAMA D55X3000 MM CUZN39PB3 R360","{56}","3000",,,"55",,"CUZN39PB3 R360","","KG","ML","20.089300","BRASS ROUND BARS D55X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4550","4965","48000150000003002040","BARA BRONZ D15X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"15",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.572000","BRONZE ROUND BARS D15X3000 MM CUSN7ZN4PB7-C-GC","KG","y",,"y",,,
"4551","4966","36000140004003000240","BARA PATRATA ALAMA 14X14X3000 MM CUZN39PB3 R430","{59}","3000","14",,,,"CUZN39PB3 R430","","KG","ML","1.658200","BRASS SQUARE BARS 14X14X3000 MM CUZN39PB3 R430 ","KG","y",,"n",,,
"4554","4969","120PT508305515203020","TABLA ALUMINIU TURNATA 5083 55 MM","{26}",,,"55.00",,,"5083","","KG","BUC","1.000000","CAST AL PLATE 5083 55 MM","KG","y",,"y","PT5083",,
"4555","4970","36000280000003000240","BARA ALAMA  D28X3000 MM CUZN39PB3 R430","{56}","3000",,,"28",,"CUZN39PB3 R430","","KG","ML","5.206600","BRASS ROUND BARS D28X3000 MM CUZN39PB3 R430","KG","y",,"y",,,
"4557","4972","42103001000200000240","TABLA CUPRU CU-DHP  R240 1/2 T3X1000X2000 MM","{67}","2000","1000","3.00",,,"CU-DHP R240","","KG","BUC","53.640000","COPPER SHEETS CU-DHP R240 3X1000X2000 MM","KG","y",,"n",,,
"4558","4973","32200801000200000KME","TABLA ALAMA CUZN37 R350 0.8x1000x2000 MM","{54}","2000","1000","0.80",,,"CUZN37 R350","","KG","BUC","13.552000","BRASS SHEETS CUZN37 R350 0.8X1000X2000 MM","KG","y",,"n",,,
"4560","4975","120PP50830451520302G","TABLA ALUMINIU DE PRECIZIE 5083 45 MM","{25}",,,"45.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 45 MM","KG","y",,"y","PP5083",,
"4562","4977","48000510000003002140","BARA BRONZ D51X3000 MM  CUSN12","{7}","3000",,,"51",,"CUSN12","","KG","ML","18.171900","BRONZE ROUND BARS D51X3000 MM CUSN12-C","KG","y",,"y",,,
"4565","4980","12606101270152030200","TABLA ALUMINIU 6061 T651 12.7 MM","{27}",,,"12.70",,,"EN AW 6061 T651","","KG","BUC","1.000000","AL. PLATES 6061 T651 12,7X1520X3020 MM - AMS","KG","y",,"y","6061",,
"4568","4983","24120020020600061500","TEAVA RECTANG. ALU 120X20X2X6000 MM 6060 T6","{32}","6000","120","2.00",,"20","EN AW 6060 T6","","KG","ML","1.468800","ALU RECT. TUBES 120X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4569","4984","25045002006000061500","TEAVA ALU D 45X2X6000 MM  6060 T6","{34}","6000",,"2.00","45",,"EN AW 6060 T6","","KG","ML","0.729100","ALU ROUND TUBES 45X2X6000 MM 6060 T6","KG","y",,"n",,,
"4571","4986","21100050030600061500","CORNIER ALU 100X50X3X6000 MM 6060  T6","{29}","6000","100","3.00",,"50","EN AW 6060 T6","","KG","ML","1.190700","ALU L PROFILES 100X50X3X6000 MM 6060 T6","KG","y",,"n",,,
"4572","4987","21080040020600061500","CORNIER ALU 80X40X2X6000 MM 6060  T6","{29}","6000","80","2.00",,"40","EN AW 6060 T6","","KG","ML","0.637200","ALU L PROFILES 80X40X2X6000 MM 6060 T6","KG","y",,"n",,,
"4575","4990","24010010020600061500","TEAVA PATRATA ALU 10X10X2X6000 MM 6060  T6","{33}","6000","10","2.00",,,"EN AW 6060 T6","","KG","ML","0.172800","ALU SQUARE TUBES 10X10X2X6000 MM 6060 T6","KG","y",,"n",,,
"4576","4991","32204001000100000KME","TABLA ALAMA CUZN37 R350 4x1000x2000 MM","{54}","2000","1000","4.00",,,"CUZN37 R350","","KG","BUC","67.760000","BRASS SHEETS CUZN37 R350 4X1000X2000 MM","KG","y",,"n",,,
"4578","4993","36000600000003000240","BARA ALAMA D60X3000 MM CUZN39PB3 R360","{56}","3000",,,"60",,"CUZN39PB3 R360","","KG","ML","23.908000","BRASS ROUND BARS D60X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4579","4994","120PP50830181540304G","TABLA ALUMINIU DE PRECIZIE 5083 18 MM","{25}",,,"18.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 18 MM","KG","y",,"y","PP5083",,
"4580","4995","25022001506000061500","TEAVA ALU D 22X1.5X6000 MM 6060 T6","{34}","6000",,"1.50","22",,"EN AW 6060 T6","","KG","ML","0.260700","ALU ROUND TUBES 22X1,5X6000 MM 6060 T6","KG","y",,"n",,,
"4582","4997","12050500100020001320","TABLA ALUMINIU 5754 H22 5x1000x2000 MM","{19}","2000","1000","5.00",,,"EN AW 5754 H22","","KG","BUC","26.600000","AL. SHEETS 5754 H22 5,0X1000X2000 mm","KG","y",,"n",,,
"4583","4998","12010250100020001540","TABLA ALUMINIU 1050 H24  2.5x1000x2000 MM","{19}","2000","1000","2.50",,,"EN AW 1050 H24","","KG","BUC","13.500000","AL. SHEETS 1050 H24 2,5X1000X2000 MM","KG","y",,"n",,,
"4584","4999","12050250125025011300","TABLA ALUMINIU 5754 H111  2.5X1250X2500 MM","{19}","2500","1250","2.50",,,"EN AW 5754 H111","","KG","BUC","20.781300","AL. SHEETS 5754 H111 2,5X1250X2500 MM","KG","y",,"n",,,
"4570","4985","21120060020600061500","CORNIER ALU 120X60X2X6000 MM 6060  T6","{29}","6000","120","2.00",,"60","EN AW 6060 T6","","KG","ML","0.961200","ALU L PROFILES 120X60X2X6000 MM 6060 T6","KG","y",,"n",,,
"4567","4982","11010801000500110540","BANDA AL 1050 H24 0.8X1000 MM  1000KG","{18}",,"1000","0.80",,,"EN AW 1050 H24","","KG","M2","2.170000","AL. COILS 1050 H24 0,8X1000 MM 1000KG","KG","y",,"n",,,"500"
"4563","4978","11010801250100110240","BANDA AL 3105 H24 0.8X1250 MM, 1000 KGRULOU","{18}",,"1250","0.80",,,"EN AW 3105 H24","","KG",,"0.000000","AL. COILS  3105 H24 0.8X1250 MM 1000 KG","KG","y",,"n",,,"1000"
"4566","4981","11010801250500110540","BANDA AL 1050 H14 0.8X1250 MM","{18}",,"1250","0.80",,,"EN AW 1050 H24","","KG",,"0.000000","AL. COILS 1050 H14 0.8X1250 MM ","KG","y",,"n",,,"1000"
"4552","4967","11011001250500110540","BANDA AL 1050 H24 1X1250 MM","{18}",,"1250","1.00",,,"EN AW 1050 H24","","KG",,"0.000000","AL. COILS 1050 H24 1X1250 MM","KG","y",,"n",,,"1000"
"4577","4992","41107006703000201242","BANDA CUPRU CU-DHP R240 0.7X670 MM 1000KG/RULOU","{64}",,"670","0.70",,,"CU-DHP R240","","KG","M2","6.260000","COPPER STRIPS CU-DHP R240 0.7X670 MM1000KG/COIL ","KG","y",,"n",,,"1000"
"4574","4989","41107010003000201240","BANDA CUPRU CU-DHP R240 0.7X1000 MM 1000KG/RULOU","{64}",,"1000","0.70",,,"CU-DHP R240","","KG","M2","6.260000","COPPER STRIPS  CU-DHP R240 0.7X1000 MM1000KG/COIL ","KG","y",,"n",,,"1000"
"4585","5000","12050250125025001320","TABLA ALUMINIU 5754  H22 2.5x1250x2500 MM","{19}","2500","1250","2.50",,,"EN AW 5754 H22","","KG","BUC","20.781300","AL. SHEETS 5754 H22 2,5X1250X2500 MM","KG","y",,"n",,,
"4586","5001","21020010020600061500","CORNIER ALU  20X10X2X6000 MM 6060  T6","{29}","6000","20","2.00",,"10","EN AW 6060 T6","","KG","ML","0.151200","ALU L PROFILES 20X10X2X6000 MM 6060 T6","KG","y",,"n",,,
"4587","5002","120PT508313015203020","TABLA ALUMINIU TURNATA 5083 130 MM","{26}",,,"130.00",,,"5083","","KG","BUC","1.000000","CAST AL PLATE 5083 130 MM","KG","y",,"y","PT5083",,
"4588","5003","12606110000000000000","TABLA ALUMINIU 6061 T651 100 MM","{27}",,,"100.00",,,"EN AW 6061 T651","","KG","BUC","1.000000","AL  PLATE 6061 T651 100 MM","KG","y",,"y","6061",,
"4589","5004","1260821002F152030200","TABLA  ALUMINIU 6082 T651  100 MM","{27}",,,"100.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","ALU PLATES 6082 T651 100X1520X3020 MM","KG","y",,"y","6082",,
"4590","5005","32203001000100000KME","TABLA ALAMA CUZN37 R350 3x1000x2000 MM","{54}","2000","1000","3.00",,,"CUZN37 R350","","KG","BUC","50.820000","BRASS SHEETS CUZN37 R350 3X1000X2000 MM","KG","y",,"n",,,
"4591","5006","24060040040600061500","TEAVA RECTANG. ALU 60x40x4x6000 MM 6060  T6","{32}","6000","60","4.00",,"40","EN AW 6060 T6","","KG","ML","1.987200","ALU RECT. TUBES 60X40X4X6000 MM 6060 T6","KG","y",,"n",,,
"4593","5008","12050150125025001300","TABLA ALUMINIU 5754 H111 1.5x1250x2500 MM","{19}","2500","1250","1.50",,,"EN AW 5754 H111","","KG","BUC","12.468800","AL. SHEETS 5754  H111 1,5X1250X2500 MM","KG","y",,"n",,,
"4594","5009","12707503000152030200","TABLA  ALUMINIU 7075  T651 30 MM","{27}",,,"30.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES7075 T651  30X1520X3020 MM ","KG","y",,"y","7075",,
"4598","5013","42103001000200000440","TABLA CUPRU CU-ETP R240 1/2 T 3X1000X2000 MM","{67}","2000","1000","3.00",,,"CU-ETP R240","","KG","BUC","53.640000","COPPER SHEETS CU-ETP 1/2 HARD 3.0X1000X2000 MM","KG","y",,"n",,,
"4599","5014","12606101200152030200","TABLA ALUMINIU 6061 T651 12 MM","{27}",,,"12.00",,,"EN AW 6061 T651","","KG","BUC","1.000000","AL. PLATES 6061 T651 12X1520X3020 MM - AMS","KG","y",,"y","6061",,
"4600","5015","12010150200040001540","TABLA ALUMINIU 1050 H24 1.5X2000X4000 MM","{19}","4000","2000","1.50",,,"EN AW 1050 H24","","KG","BUC","32.400000","AL SHEETS 1050H24 1.5X2000X4000 MM","KG","y",,"n",,,
"4601","5016","36000140000003000230","BARA ALAMA D14X3000 MM CUZN39PB3 R430","{56}","3000",,,"14",,"CUZN39PB3 R430","","KG","ML","1.301700","BRASS ROUND BARS D14X3000 MM CUZN39PB3 R430","KG","y",,"y",,,
"4602","5017","36000190006003000240","BARA HEXAG ALAMA 19X3000 MM CUZN39PB3 R430","{58}","3000",,,,"19","CUZN39PB3 R430","","KG","ML","2.644800","BRASS HEXAG BARS 19X3000 MM CUZN39PB3 R430","KG","y",,"n",,,
"4603","5018","36000140006003000240","BARA HEXAG ALAMA 14X3000 MM CUZN39PB3 R430","{58}","3000",,,,"14","CUZN39PB3 R430","","KG","ML","1.436000","BRASS HEXAG BARS 14X3000 MM CUZN39PB3 R430","KG","y",,"n",,,
"4604","5019","36000150006003000240","BARA HEXAG ALAMA 15X3000 MM CUZN39PB3 R430","{58}","3000",,,,"15","CUZN39PB3 R430","","KG",,"0.000000","BRASS HEXAG BARS 15X3000 MM CUZN39PB3 R430","KG","y",,"n",,,
"4605","5020","22030030030600061500","PROFIL ALU T 30X30X3X6000 MM 6060  T6","{30}","6000","30","3.00",,"30","EN AW 6060 T6","","KG","ML","0.461700","ALU T PROFILES 30X30X3X6000 MM 6060 T6","KG","y",,"n",,,
"4607","5022","36000410004003000240","BARA PATRATA ALAMA 41X41X3000 MM CUZN39PB3 R430","{59}","3000","41",,,,"CUZN39PB3 R360","","KG","ML","14.221300","BRASS SQUARE BARS 41X41X3000 MM CUZN39PB3 R430 DRAWN","KG","y",,"n",,,
"4608","5023","24050050050600061500","TEAVA PATRATA ALU 50x50x5x6000 MM 6060  T6","{33}","6000","50","5.00",,,"EN AW 6060 T6","","KG","ML","2.430000","ALU SQUARE TUBES 50X50X5X6000 MM 6060 T6","KG","y",,"n",,,
"4609","5024","23025025020600061500","PROFIL ALU U 25X25X25X2X6000 MM 6060  T6","{31}","6000","25","2.00",,"25","EN AW 6060 T6","","KG","ML","0.383400","ALU ANODIZED U PROFILES 25X25X25X2X6000 MM 6060 T6","KG","y",,"n",,,
"4610","5025","120PP702101015403048","TABLA ALUMINIU DE PRECIZIE  7021 10 MM","{25}",,,"10.00",,,"7021","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 7021 10 MM","KG","y",,"y","PP7021",,
"4611","5026","12707501000152030200","TABLA  ALUMINIU 7075 T651 10 MM","{27}",,,"10.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES 7075 T651 10X1520X3020 MM ","KG","y",,"y","7075",,
"4612","5027","24020020015600061500","TEAVA PATRATA ALU 20x20x1.5x6000 MM 6060  T6","{33}","6000","20","1.50",,,"EN AW 6060 T6","","KG","ML","0.299700","ALU SQUARE TUBES 20X20X1.5X6000 MM 6060 T6","KG","y",,"n",,,
"4614","5029","36000450000003000240","BARA ALAMA D45X3000 MM CUZN39PB3 R360","{56}","3000",,,"45",,"CUZN39PB3 R360","","KG","ML","13.448200","BRASS ROUND BARS D45X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4615","5030","36000320006003000240","BARA HEXAG ALAMA 32X3000 MM CUZN39PB3 R360","{58}","3000",,,,"32","CUZN39PB3 R360","","KG","ML","7.502200","BRASS HEXAG BARS 32X3000 MM CUZN39PB3 R360 ","KG","y",,"n",,,
"4616","5031","36000350000003000240","BARA ALAMA D35X3000 MM CUZN39PB3 R360","{56}","3000",,,"35",,"CUZN39PB3 R360","","KG","ML","8.135300","BRASS ROUND BARS D35X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4617","5032","23050100050600061500","PROFIL ALU U 50X100X50X5X6000 MM 6060  T6","{31}","6000","100","5.00",,"50","EN AW 6060 T6","","KG","ML","2.565000","ALU U PROFILES 50X100X50X5X6000 MM 6060 T6","KG","y",,"n",,,
"4618","5033","1250830652F152030200","TABLA ALUMINIU 5083 H111  65 MM","{27}",,,"65.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 65X1520X3020 MM","KG","y",,"y","5083",,
"4619","5034","36000050000003000240","BARA ALAMA D5X3000 MM CUZN39PB3 R500","{56}","3000",,,"5",,"CUZN39PB3 R500","","KG","ML","0.166000","BRASS ROUND BARS CUZN39PB3 R500 D5X3000 MM","KG","y",,"y",,,
"4621","5036","37000402003003000240","BARA LATA ALAMA 40X20X3000 MM CUZN39PB3","{60}","3000","40","20.00",,,"CUZN39PB3","","KG","ML","6.768000","BRASS FLAT BARS 40X20X4000 MM CUZN39PB3 F43","KG","y",,"n",,,
"4622","5037","120PP50830251540304G","TABLA ALUMINIU DE PRECIZIE 5083 25 MM","{25}",,,"25.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 25 MM","KG","y",,"y","PP5083",,
"4613","5028","36000460000003000240","BARA ALAMA D46X3000 MM CUZN39PB3 R360","{56}","3000",,,"46",,"CUZN39PB3 R360","","KG",,"1.000000","BRASS ROUND BARS D46X3000 MM CUZN39PB3 R360","KG","y",,"y",,,
"4620","5035","41106010003000201341","BANDA CUPRU CU-DHP R240 0.6X1000 MM 100KG/RULOU","{64}",,"1000","0.60",,,"CU-DHP R240","","KG","M2","5.364000","COPPER STRIPS CU-DHP R240 0.6X1000 MM 100KG/COIL","KG","y",,"n",,,"100"
"4623","5038","36000350004003000240","BARA PATRATA ALAMA 35X35X3000 MM CUZN39PB3 R360","{59}","3000","35",,,,"CUZN39PB3 R360","","KG",,"0.000000","BRASS SQUARE BARS CUZN39PB3R430 35X35X3000 MM","KG","y",,"n",,,
"4628","5043","1250830902F152030200","TABLA ALUMINIU 5083 H111  90 MM","{27}",,,"90.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 90X1520X3020 MM ","KG","y",,"y","5083",,
"4629","5044","36001000000003000240","BARA ALAMA D100X3000 MM CUZN39PB3","{56}","3000",,,"100",,"CUZN39PB3 ","","KG","ML","66.411000","BRASS ROUND BARS D100X3000 MM CUZN39PB3","KG","y",,"y",,,
"4631","5046","24080030030600061500","TEAVA RECTANG. ALU 80X30X3X6000 MM 6060  T6","{32}","6000","80","3.00",,"30","EN AW 6060 T6","","KG","ML","1.684800","ALU RECT. TUBES 80X30X3X6000 MM 6060 T6","KG","y",,"n",,,
"4632","5047","120PP50830141520302G","TABLA ALUMINIU DE PRECIZIE 5083 14 MM","{25}",,,"14.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 14 MM","KG","y",,"y","PP5083",,
"4634","5049","36000170006003000240","BARA HEXAG ALAMA 17X3000 MM CUZN39PB3 R430","{58}","3000",,,,"17","CUZN39PB3 R430","","KG","ML","2.117300","BRASS HEXAG BARS 17X3000 MM CUZN39PB3 R430","KG","y",,"n",,,
"4635","5050","120PP575401517402040","TABLA ALUMINIU DE PRECIZIE 5754 15 MM","{25}",,,"15.00",,,"5754","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5754 15 MM","KG","y",,"y","PP5754",,
"4637","5052","12060500150030003460","TABLA ALUMINIU 6061 T6 5x1500x3000 MM","{19}","3000","1500","5.00",,,"EN AW 6082 T6","","KG","BUC","60.750000","AL. SHEETS 6082  5X1500X3000 MM","KG","y",,"n",,,
"4641","5056","12060500100020006360","TABLA ALUMINIU 6082 5X1000X2000 MM","{19}","2000","1000","5.00",,,"EN AW 6082 T6","","KG","BUC","27.000000","AL. SHEETS 6082  5X1000X2000 MM","KG","y",,"n",,,
"4642","5057","120PP575403017402040","TABLA ALUMINIU DE PRECIZIE 5754 30 MM","{25}",,,"30.00",,,"5754","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5754 30 MM","KG","y",,"y","PP5754",,
"4643","5058","120PP575408015903050","TABLA ALUMINIU DE PRECIZIE 5754 80 MM","{25}",,,"80.00",,,"5754","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5754 80 MM","KG","y",,"y","PP5754",,
"4644","5059","48000160000003002140","BARA BRONZ D16X3000 MM CUSN12","{7}","3000",,,"16",,"CUSN12","","KG","ML","1.788500","BRONZE ROUND BARS D16X3000 MM CUSN12-C-GC","KG","y",,"y",,,
"4646","5061","24030020020600061500","TEAVA RECTANG, ALU30x20x2x6000 MM 6060  T6","{32}","6000","30","2.00",,"20","EN AW 6060 T6","","KG","ML","0.496800","ALU RECT. TUBES 30X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4648","5063","12910250125025001560","TABLA AL STRIATA 1050 H244 2.5x1250x2500 MM","{22}","2500","1250","2.50",,,"EN AW 1050 H244","","KG","BUC","24.000000","AL. TREAD SHEETS 1050 H244 2.5X1250X2500 MM","KG","y",,"n",,,
"4650","5065","120PP575401017402040","TABLA ALUMINIU DE PRECIZIE 5754 10 MM","{25}",,,"10.00",,,"5754","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5754 10 MM","KG","y",,"y","PP5754",,
"4653","5068","12910250100020001560","TABLA AL STRIATA 1050 H244 2.5x1000x2000 MM","{22}","2000","1000","2.50",,,"EN AW 1050 H244","","KG","BUC","15.500000","AL. TREAD SHEETS QUINTETT 1050 H244 2.5X1000X2000 MM","KG","y",,"n",,,
"4657","5072","24050050040600061500","TEAVA PATRATA ALU 50x50x4x6000 MM 6060  T6","{33}","6000","50","4.00",,,"EN AW 6060 T6","","KG","ML","1.987200","ALU SQUARE TUBES 50X50X4X6000 MM 6060 T6","KG","y",,"n",,,
"4625","5040","26300000003000063600","BARA ALU D 300X3000 MM 6082 T6","{36}","3000",,,"300",,"EN AW 6082 T6","","KG","ML","190.755000","ALU ROUND BARS 300X3000 MM 6082 T6","KG","y",,"y",,"2.7000",
"4630","5045","27010005060000061500","BARA LATA ALU  10X5X6000 MM 6060 T6","{39}","6000","10","5.00",,,"EN AW 6060 T6","","KG","ML","0.135000","ALU FLAT BARS 10X5X6000 MM 6060 T6","KG","y",,"n",,"2.7000",
"4624","5039","41105006703000201241","BANDA CUPRU CU-DHP R240 0.5X670 MM 100 KG/RULOU","{64}",,"670","0.50",,,"CU-DHP R240","","KG","M2","4.450000","COPPER STRIPS CU-DHP R240 0.5X670 MM 100KG/COIL","KG","y",,"n",,,"100"
"4626","5041","41105010003000201140","BANDA CUPRU CU-DHP R240 0.5X1000 MM 100 KG/RULOU","{64}",,"1000","0.50",,,"CU-DHP R240","","KG","M2","4.450000","COPPER STRIPS CU-DHP R240 0.5X1000 MM 100KG/COIL","KG","y",,"n",,,"100"
"4627","5042","41107006703000201241","BANDA CUPRU CU-DHP R240 0.7X670 MM  100 KG/RULOU","{64}",,"670","0.70",,,"CU-DHP R240","","KG","M2","6.250000","COPPER STRIPS CU-DHP R240 0.7X670 MM  100 KG/COIL ","KG","y",,"n",,,"100"
"4651","5066","18110055067000000000","BANDA TITAN-ZINC ELZINC NATURAL 0.55X670 MM 30ML/RULOU","{70}",,"670","0.55",,,"","NATURAL","KG","M2","3.960000","TITAN-ZINC COILS 0.55X670 MM NATURAL 30 M/COIL","KG","y","30","n",,"3.2000",
